unode dx dy f11 f12 f21 f22
177 0.0582249 0.0435524 0.72963 0.909064 -0.194439 1.19016
178 0.0127123 0.0428874 0.853258 0.575275 -0.191056 1.08959
179 -0.0189202 0.0115028 0.938846 0.293605 -0.10994 0.998179
180 -0.0205018 -0.00738118 0.944213 0.235116 -0.0631267 1.01822
181 0.000601192 -0.000816715 0.891626 0.292213 -0.0809144 1.1007
182 -0.0115148 -0.0139922 0.922652 0.188222 -0.0484954 1.0585
183 -0.0511653 -0.04997 1.01713 0.106398 0.0367585 0.995431
184 -0.0980227 -0.0960582 1.12766 -0.0149319 0.145841 0.866994
185 -0.0893805 -0.0903885 1.10954 -0.0671295 0.133903 0.850647
186 -0.105711 -0.0965093 1.14619 -0.0564291 0.147587 0.873233
187 -0.114397 -0.10018 1.16503 -0.0470437 0.156164 0.845087
188 -0.150782 -0.160847 1.24357 -0.0883852 0.287068 0.81033
189 -0.158387 -0.185624 1.25909 -0.0930519 0.338491 0.806271
190 -0.147347 -0.150321 1.23523 -0.0784142 0.263747 0.842208
191 -0.112419 -0.0966847 1.16399 -0.107041 0.153756 0.831191
192 -0.0983838 -0.072623 1.13629 -0.116294 0.105411 0.83696
193 -0.0772964 -0.0347164 1.0957 -0.139637 0.0317696 0.788317
194 -0.13657 -0.076174 1.20992 0.0126482 0.111682 0.913723
195 -0.126434 -0.0609617 1.19293 -0.123329 0.0844072 0.805539
196 -0.119207 -0.0734136 1.1809 -0.245084 0.108181 0.799336
197 -0.0163763 -0.154572 0.989064 -0.224622 0.258736 0.900415
198 -0.0908329 -0.186621 1.12485 -0.113704 0.316887 0.933572
199 -0.107686 -0.148924 1.15396 -0.0291097 0.248913 0.852466
200 -0.148053 -0.092018 1.22364 0.146599 0.146852 0.867317
201 -0.107947 -0.0172517 1.15397 0.0790955 0.0149708 0.878494
202 -0.0676635 0.0222708 1.08368 0.0922029 -0.0538181 0.895652
203 -0.0373118 0.0352436 1.03094 0.150118 -0.0768025 0.949511
204 -0.0298148 0.0142182 1.01814 0.164844 -0.0412956 0.968169
205 -0.0158394 0.00285194 0.994644 0.184823 -0.0223049 0.978549
206 -0.0207542 -0.0430334 1.00286 0.19735 0.0533393 0.993035
207 -0.0125736 -0.0370389 0.989224 0.228135 0.0434604 0.993173
208 -0.0234346 -0.103516 1.00656 0.249312 0.149991 1.03938
209 -0.0233203 -0.0655361 1.00601 0.270079 0.0900117 1.00004
210 -0.0154038 -0.135674 0.9935 0.28068 0.200263 1.01201
211 -0.0491042 -0.144403 1.04547 0.304092 0.213704 1.03471
212 -0.0606589 -0.23868 1.06213 0.388777 0.357867 1.08695
213 -0.105391 -0.234585 1.12955 0.426398 0.352187 1.00489
214 -0.0420611 -0.19521 1.03554 0.367455 0.294342 0.962326
215 -0.0816761 -0.282771 1.09101 0.640273 0.422848 1.04206
216 -0.319287 -0.194416 1.43498 0.959136 0.296292 0.90061
217 -0.307924 -0.231515 1.41554 1.11424 0.347619 1.0269
218 -0.186254 -0.385048 1.24437 0.975252 0.566092 1.18687
219 -0.981355 -0.622555 2.36412 1.35856 0.905559 0.954033
220 -0.181398 -1.40728 1.24685 1.0561 1.99102 2.53535
221 0.114763 -0.297694 0.826493 2.18666 0.452725 2.45328
222 0.278756 -0.0743993 0.608038 1.46085 0.150177 1.99424
223 0.0975875 -0.292072 0.857501 1.10521 0.447221 1.8585
224 0.157385 0.0501977 0.781808 0.582519 -0.00604904 1.14552
225 -0.0156473 -0.19638 1.01256 0.505991 0.322692 1.06823
226 -0.148963 0.0151391 1.18746 0.574011 0.0469298 0.890455
227 -0.00754832 0.109475 1.00549 0.42398 -0.0762084 0.903685
228 -0.0103592 0.118077 1.00782 0.529393 -0.0892118 1.0662
229 0.0312215 0.18501 0.954719 0.523305 -0.172985 0.950043
230 -0.0613071 0.175339 1.07053 0.54067 -0.160775 0.885874
231 -0.120827 0.135222 1.1469 0.393749 -0.10956 0.795694
232 -0.291663 -0.0201658 1.3596 0.29111 0.0831706 0.743573
233 -0.444936 -0.123175 1.54625 0.367602 0.209471 0.697087
234 -0.488891 -0.363796 1.5996 0.385361 0.501081 0.749569
235 -0.3485 -0.102828 1.43123 0.340736 0.187259 0.723126
236 -0.410502 -0.15386 1.50481 0.381695 0.248435 0.704025
237 -0.425429 -0.204664 1.52219 0.400105 0.308204 0.734764
238 -0.381635 -0.132898 1.47076 0.413956 0.224087 0.74135
239 -0.354095 -0.0631243 1.43903 0.378882 0.144032 0.727618
240 -0.294001 -0.0261448 1.36936 0.438419 0.101072 0.784693
241 -0.168229 0.0587674 1.22574 0.455527 0.00393575 0.789216
242 -0.0752482 0.0833629 1.12076 0.516929 -0.023423 0.875058
243 0.121622 0.404922 0.900796 0.574743 -0.382202 0.843712
244 0.264668 0.47267 0.741314 0.723297 -0.458108 0.948031
245 0.280562 0.483938 0.722746 0.812909 -0.470775 0.962816
246 0.226589 0.456261 0.781554 0.781402 -0.440519 0.936787
247 0.203308 0.444233 0.807877 0.65076 -0.427129 0.898277
248 0.158027 0.430032 0.856704 0.619225 -0.41193 0.898874
249 0.129427 0.419423 0.886945 0.647279 -0.400468 0.882395
250 0.257027 0.448364 0.750695 0.844889 -0.431723 0.962391
251 0.487367 0.526166 0.508442 0.981985 -0.513745 1.0318
252 0.496841 0.522752 0.498668 0.971599 -0.510115 1.01986
253 0.416573 0.497993 0.581776 0.919389 -0.484318 0.978124
254 0.356933 0.455497 0.642995 0.870216 -0.441096 0.989911
255 0.325093 0.450967 0.675582 0.817668 -0.436486 0.992087
256 -0.000284484 0.0145558 0.650555 0.884156 -0.418183 0.977987
